title,needs_identification,missing_artwork,match_status,igdb_id
2020 Super Baseball (NA),True,False,Needs identification,
Aretha (English Translated by Dynamic Designs),True,False,Needs identification,
Bike Daisuki! Hashiriya Tamashii - Rider's Spirits (English Translated by MrRichard999),True,True,Needs identification,
Bill Laimbeer's Combat Basketball (NA),True,False,Needs identification: multiple matching editions,46002
Congo - The Movie (Secret of Zinj - Prototype),True,True,Needs identification,
"Cotton 100% - Maerchen Adventure (English Translated by Ellen, Sven, and Svambo, Rev 1.1)",True,True,Needs identification,
"Dokapon 3-2-1 - Arashi o Yobu Yuujou (English Translated by Krokodyl, Rev 1.4)",True,False,Needs identification,
Dragon Ball Z - Hyper Dimension (English Translated by Twilight Translations),True,False,Needs identification: multiple matching editions,270755
"Dragon Ball Z - Super Butouden (English Translated by Aeon Genesis, Rev 0.98)",True,False,Needs identification: multiple matching editions,2545
Emit Vol. 3 - Watashi ni Sayonara o (JP),True,False,Needs identification,
FrogNES (NA),True,True,Needs identification,
"Ganbare Goemon - Boku ga Dancer ni Natta Riyuu - Kirakira Douchuu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",True,True,Needs identification,
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (English Translated by DDSTranslation, Rev 2 With SRAM Hack by FlashPV, Rev 1.02)",True,False,Needs identification: multiple matching editions,
"Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",True,False,Needs identification,
"Gokujou Parodius (English Translated and SRAM Patched by Blizzz, Rev 1.1a With FastROM Hack by Kandowontu)",True,False,Needs identification,
Golf Daisuki! - O.B. Club (English Translated by Dynamic Designs),True,True,Needs identification,
Hakunetsu Pro Yakyuu '93 - Ganba League (JP),True,False,Needs identification,
Hatayama Hatch no Pro Yakyuu News! - Jitsumei Ban (JP),True,False,Needs identification,
Havoc (Prototype),True,True,Needs identification,
Hercules (NA),False,True,Matched to IGDB,46158
Hercules 2 (TW),False,True,Matched to IGDB,46158
Hisshou Pachi-Slot Fun (JP),True,False,Needs identification,
Hit the Ice - VHL (The Official Video Hockey League - NA),True,True,Needs identification,
Hokuto no Ken 6 - Gekitou Denshouken Haou e no Michi (JP),True,False,Needs identification,
Honke Sankyo Fever 2 - Jikki Simulation (JP),True,False,Needs identification,
Honke Sankyo Fever 3 - Jikki Simulation (JP),True,False,Needs identification,
"International Sensible Soccer - World Champions Limited Edition (Rev 1, NTSC Conversion)",True,True,Needs identification,
J.R.R. Tolkien's The Lord of the Rings - Volume 1 (NA),True,False,Needs identification,
JWP Joshi Pro Wres - Pure Wrestle Queens (JP),True,False,Needs identification,
Jack Nicklaus Golf (NA),True,False,Needs identification,
Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (JP),True,False,Needs identification,
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2 (JP),True,False,Needs identification,
John Madden Football (NA),True,False,Needs identification,
Jungle no Ouja Tar-chan - Sekaimanyuu Daikakutou no Maki (JP),True,False,Needs identification,
Kat's Run - Zen-Nihon K-Car Senshuken (JP),True,False,Needs identification,
"Kigurumi Daibouken - Dream Maze (English Translated by KingMike's Translations, Rev 1b)",True,True,Needs identification,
"Kirby no Kirakira Kizzu (English Translated by TheDanaAddams, Rev 1.1)",True,True,Needs identification,
Kishin Douji Zenki - Batoru Raiden (English Translated by Dynamic Designs),True,True,Needs identification,
"Kouryuu no Mimi (English Translated by RPGOne, Rev 2)",True,False,Needs identification,
"Kyuuyaku Megami Tensei I-II (English Translated, Rev 1.1)",True,True,Needs identification,
Lupin Sansei - Densetsu no Hihou o Oe! (JP),True,False,Needs identification,
"MACS Basic Rifle Marksmanship (NA, Rev 1.1e)",True,True,Needs identification,
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin (JP),True,False,Needs identification,
Math Blaster - Episode 1 (NA),True,False,Needs identification,
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero! (JP),True,False,Needs identification,
Mick & Mack as the Global Gladiators (Prototype),True,True,Needs identification,
Might and Magic II (NTSC Conversion),True,False,Needs identification,
Mighty Max (NA),True,False,Needs identification,
Moto-X (NA),True,True,Needs identification,
Mr. Bloppy Saves the World (NA),True,True,Needs identification,
Muhammad Ali Heavyweight Boxing (Prototype),True,True,Needs identification,
NBA Jam XXX (Prototype),True,True,Needs identification,
Naxat Super Pinball - Jaki Crush (JP),True,False,Needs identification,
Network Q Rally (Prototype),True,True,Needs identification,
"Neugier - The Journey Home (English Translated by Haeleth & RPGOne, Rev 2)",True,True,Needs identification,
Neuro de Fuzzy Shooting (Prototype),True,True,Needs identification,
Nichibutsu Arcade Classics 2 - Heiankyou Alien (JP),True,False,Needs identification,
Nishijin Pachinko Monogatari 3 (English Translated by MrRichard999),True,True,Needs identification,
Nuke (Or Why Men Make Bombs - NA),True,True,Needs identification,
Oonita Atsushi FMW (JP),True,False,Needs identification,
Operation Starfi5h (NTSC Conversion),True,False,Needs identification,
Ossu!! Karate-bu (JP),True,False,Needs identification,
Parame ROM Cassette Vol. 2 (JP),True,True,Needs identification,
"Parlor! Mini - Pachinko Jikki Simulation Game (JP, Rev 1)",True,False,Needs identification,
Parlor! Mini 2 - Pachinko Jikki Simulation Game (JP),True,False,Needs identification,
Parodius Da! - Shinwa kara Owarai e (JP),True,False,Needs identification,
Pokemon Gold & Silver (TW),True,True,Needs identification,
Populous (NA),True,False,Needs identification: multiple matching editions,248
Quinty (Prorotype),True,True,Needs identification,
R-Type III (NA),True,False,Needs identification,
Raiden Trad (NA),True,False,Needs identification: multiple matching editions,46211
Reverse Kids (JP),True,True,Needs identification,
Road Runner (Prototype),True,True,Needs identification,
Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome (JP),True,False,Needs identification,
Shin Nihon Pro Wrestling Kounin - '95 Tokyo Dome Battle 7 (JP),True,False,Needs identification,
Shooter (Prototype),True,True,Needs identification: multiple matching editions,
Snake Blaster (Prototype),True,True,Needs identification,
Soul Edge Vs. Samurai (TW),True,True,Needs identification,
Speed Racer (NA),True,False,Needs identification,
Spider-Man - Venom - Maximum Carnage (NA),True,False,Needs identification,
Spider-Man - X-Men - Arcade's Revenge (NA),True,False,Needs identification,
Squirrel (TW),True,True,Needs identification,
Street Fighter EX Plus Alpha (TW),True,True,Needs identification,
Street Fighter V (NA),True,True,Needs identification,
Super Conflict (NA),True,False,Needs identification,
Super Family Gelaende (JP),True,True,Needs identification,
Super Formation Soccer '95 - Della Serie A (JP - UCC Xaqua Version),True,True,Needs identification,
Super Morph (NTSC Conversion),True,False,Needs identification: multiple matching editions,76904
Super Nova (NA),True,False,Needs identification: multiple matching editions,42446
Super Oozumou - Nessen Ooichiban (JP),True,False,Needs identification,
"Super Puyo Puyo (JP, Rev 2)",True,False,Needs identification: multiple matching editions,42406
"Super Puyo Puyo Tsuu (English Translated by J2e Translations, Rev 1.1)",True,False,Needs identification,
Super Tekkyuu Fight! (JP),True,False,Needs identification,
Super Turrican Collection (NA),True,True,Needs identification,
Sutobasu Yarou Show (JP),True,False,Needs identification,
Table Game Daishuugou!! (JP),True,False,Needs identification,
Teenage Mutant Ninja Turtles - Tournament Fighters (NA),True,False,Needs identification: multiple matching editions,134079
Tekken 2 (TW),True,True,Needs identification,
The Blues Brothers (NA),True,True,Needs identification,
The King of Fighters '98 (TW),True,True,Needs identification,
The King of Fighters 2000 (TW),True,True,Needs identification,
The King of Rally - Paris-Moscow-Beijing (JP),True,True,Needs identification,
Time Pilot (Prototype),True,True,Needs identification,
"Torneko no Daibouken - Fushigi no Dungeon (English Translated by Dynamic Designs, Rev 0.99)",True,False,Needs identification,
U.F.O. Kamen Yakisoban - Kettler no Kuroi Inbou (Keihin Ban - JP),True,False,Needs identification,
