rom_title,igdb_id,identity_confirmed_or_recoverable,available_route,libretro_url,libretro_http_status,steamgrid_id,steamgrid_url,steamgrid_portrait_count,steamgrid_identity_caution,igdb_image_url,igdb_image_http_status
Aladdin 2000 (TW),247332,True,IGDB image fallback,,,,,0,Unlicensed ROM: manual grid choice required,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co7t3q.jpg,200
Apocalypse II (Prototype - NTSC Conversion),42434,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2uw7.jpg,200
Arabian Nights - Sabaku no Seirei Ou (English Translated by LostTemplar),38381,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Arabian%20Nights%20-%20Sabaku%20no%20Seirei%20Ou%20%28Japan%29.png,200,34547,https://www.steamgriddb.com/game/34547,5,,,
Araiguma Rascal - Raccoon Rascal (English Translated by Zarby89 With FastROM Hack by Kandowontu),38262,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2l1j.jpg,200
Aretha (English Translated by Dynamic Designs),,False,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Aretha%20%28Japan%29.png,200,,,0,Unidentified ROM: title-only results may be another platform or game,,
"Ashita no Joe (English Translated by Vice Translations, Rev 0.99 With FastROM Hack by Kandowontu)",39578,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ashita%20no%20Joe%20%28Japan%29.png,200,,,0,,,
Astrohawk (NA),62503,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2u47.jpg,200
Atmosfear (Prototype),73340,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co2y3v.jpg,200
Ball Bullet Gun (English Translated by Aeon Genesis),42378,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Ball%20Bullet%20Gun%20%28Japan%29.png,200,,,0,,,
Batman (Prototype),214896,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5yv4.jpg,200
"Battle Tycoon - Flash Hiders SFX (JP, Rev 1)",38216,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Battle%20Tycoon%20-%20Flash%20Hiders%20SFX%20%28Japan%29.png,200,,,0,,,
Bike Daisuki! Hashiriya Tamashii - Rider's Spirits (English Translated by MrRichard999),,False,Manual review or artwork still needed,,,,,0,Unidentified ROM: title-only results may be another platform or game,,
Bing Bing! Bingo (English Translated by MrRichard999),42310,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Bing%20Bing%21%20Bingo%20%28Japan%29.png,200,,,0,,,
"Bishoujo Senshi Sailor Moon SuperS - Fuwa Fuwa Panic (English Translated by Dynamic Designs, Rev 1.01 With Westernized Names)",36731,True,SteamGridDB title/year candidate,,,5291690,https://www.steamgriddb.com/game/5291690,7,,,
Buck Rogers - The Arcade Game (Prototype),42344,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co5yxw.jpg,200
"Bushi Seiryuuden - Futari no Yuusha (English Translated by DDSTranslation, Rev 2)",16294,True,Libretro regional filename; SteamGridDB title/year candidate,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Bushi%20Seiryuuden%20-%20Futari%20no%20Yuusha%20%28Japan%29.png,200,5374744,https://www.steamgriddb.com/game/5374744,1,,,
"Captain Tsubasa III - Koutei no Chousen (English Translated by Pianohombre With Fixes by Morhamms357, Rev 0.9)",38340,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Captain%20Tsubasa%20III%20-%20Koutei%20no%20Chousen%20%28Japan%29.png,200,,,0,,,
Caravan Shooting Collection (JP),42280,True,IGDB image fallback,,,,,0,,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/co3a88.jpg,200
"Chaos Seed - Fuusui Kairouki (English Translated by Dynamic Designs, Rev 1.02)",15833,True,Libretro regional filename,https://thumbnails.libretro.com/Nintendo%20-%20Super%20Nintendo%20Entertainment%20System/Named_Boxarts/Chaos%20Seed%20-%20Fuusui%20Kairouki%20%28Japan%29.png,200,,,0,,,
