rom_title,result,igdb_id,catalog_title,igdb_url,search_stage,unconfirmed_candidates
2020 Super Baseball (NA),No confident match from search responses,,,,discovery,46193: Super Baseball 2020; 38429: Super Bases Loaded 2; 46246: Tecmo Super Baseball
Advanced Dungeons & Dragons - Eye of the Beholder (NA),recoverable,5384,Eye of the Beholder,https://www.igdb.com/games/eye-of-the-beholder--1,discovery,5384: Eye of the Beholder
Aretha (English Translated by Dynamic Designs),No confident match from search responses,,,,discovery,271265: The Arena; 1357: U.N. Squadron; 44456: SimEarth: The Living Planet
Ballz 3D - Fighting at Its Ballziest (NA),recoverable,42568,Ballz 3D,https://www.igdb.com/games/ballz-3d,discovery,42568: Ballz 3D
Battletoads-Double Dragon (NA),recoverable,242267,Battletoads / Double Dragon,https://www.igdb.com/games/battletoads-slash-double-dragon--1,discovery,242267: Battletoads / Double Dragon
Bike Daisuki! Hashiriya Tamashii - Rider's Spirits (English Translated by MrRichard999),No confident match from search responses,,,,discovery,38214: Rider's Spirits; 38214: Rider's Spirits; 38214: Rider's Spirits
Bill Laimbeer's Combat Basketball (NA),ambiguous or truncated,,,,aliases,12592: Future Basketball; 46002: Bill Laimbeer's Combat Basketball
"Bishoujo Senshi Sailor Moon SuperS - Fuwa Fuwa Panic (English Translated by Dynamic Designs, Rev 1.01 With Westernized Names)",recoverable,36731,Bishoujo Senshi Sailor Moon Super S: Fuwa-fuwa Panic,https://www.igdb.com/games/bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic,broad,36731: Bishoujo Senshi Sailor Moon Super S: Fuwa-fuwa Panic; 56370: Bishoujo Senshi Sailor Moon Sailor Stars: Fuwa-fuwa Panic 2; 48987: Bishoujo Senshi Sailor Moon R
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (JP),recoverable,42341,Bishoujo Senshi Sailor Moon Super S: Zenin Sanka!! Shuyaku Soudatsusen,https://www.igdb.com/games/bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen,broad,42341: Bishoujo Senshi Sailor Moon Super S: Zenin Sanka!! Shuyaku Soudatsusen; 42399: Bishoujo Senshi Sailor Moon S: Jougai Rantou!? Shuyaku Soudatsusen; 36731: Bishoujo Senshi Sailor Moon Super S: Fuwa-fuwa Panic
"Bushi Seiryuuden - Futari no Yuusha (English Translated by DDSTranslation, Rev 2)",recoverable,16294,Bushi Seiryuu-den: Futari no Yuusha,https://www.igdb.com/games/bushi-seiryuu-den-futari-no-yuusha,discovery,16294: Bushi Seiryuu-den: Futari no Yuusha; 42653: Operation Logic Bomb; 42303: Shiki Eiyuu-den
Casper (NA),recoverable,215184,Casper,https://www.igdb.com/games/casper--4,broad,215181: Casper; 215184: Casper
Choplifter III - Rescue-Survive (NA),recoverable,7824,Choplifter III: Rescue Survive,https://www.igdb.com/games/choplifter-iii-rescue-survive--1,discovery,7824: Choplifter III: Rescue Survive
Clay Fighter 2 - Judgment Clay (NA),recoverable,73298,ClayFighter 2: Judgment Clay,https://www.igdb.com/games/clayfighter-2-judgment-clay,discovery,73298: ClayFighter 2: Judgment Clay; 73298: ClayFighter 2: Judgment Clay; 73298: ClayFighter 2: Judgment Clay
Congo - The Movie (Secret of Zinj - Prototype),No confident match from search responses,,,,discovery,38289: Congo the Movie: The Secret of Zinj; 15893: Tecmo Secret of the Stars; 339023: I Wanna Be The ROM Hack: Prototype
"Cotton 100% - Maerchen Adventure (English Translated by Ellen, Sven, and Svambo, Rev 1.1)",No confident match from search responses,,,,discovery,221257: JoJo no Kimyou na Bouken; 11603: Pac-Man 2: The New Adventures; 38359: Cotton 100%
"DoReMi Fantasy - Milon no DokiDoki Daibouken (English Translated by Gaijin Productions and RPGOne, Rev 1.3)",recoverable,15908,DoReMi Fantasy: Milon's DokiDoki Adventure,https://www.igdb.com/games/doremi-fantasy-milons-dokidoki-adventure,broad,15908: DoReMi Fantasy: Milon's DokiDoki Adventure; 15908: DoReMi Fantasy: Milon's DokiDoki Adventure; 15908: DoReMi Fantasy: Milon's DokiDoki Adventure
"Dokapon 3-2-1 - Arashi o Yobu Yuujou (English Translated by Krokodyl, Rev 1.4)",No confident match from search responses,,,,discovery,38133: Dokapon 3-2-1: Arashi wo Yobu Yuujou; 65377: Crayon Shin-chan: Arashi wo Yobu Enji; 65377: Crayon Shin-chan: Arashi wo Yobu Enji
Dragon Ball Z - Super Gokuden - Kakusei Hen (English Translated by Commando Ginew),recoverable,74038,Dragon Ball Z: Super Goku-den - Kakusei-hen,https://www.igdb.com/games/dragon-ball-z-super-goku-den-kakusei-hen,discovery,74038: Dragon Ball Z: Super Goku-den - Kakusei-hen; 38396: Dragon Ball Z: Super Goku-den - Totsugeki-hen; 38396: Dragon Ball Z: Super Goku-den - Totsugeki-hen
"Dragon Ball Z - Super Gokuden - Totsugeki Hen (English Translated by Kakkoii Translations, Rev 0.98 With Anime Names)",recoverable,38396,Dragon Ball Z: Super Goku-den - Totsugeki-hen,https://www.igdb.com/games/dragon-ball-z-super-goku-den-totsugeki-hen,discovery,38396: Dragon Ball Z: Super Goku-den - Totsugeki-hen; 38396: Dragon Ball Z: Super Goku-den - Totsugeki-hen; 74038: Dragon Ball Z: Super Goku-den - Kakusei-hen
Dream T.V. (NA),recoverable,93573,Dream TV,https://www.igdb.com/games/dream-tv,broad,93573: Dream TV; 205595: Dragon Quest V: Tenkuu no Hanayome; 42420: Psycho Dream
ESPN Speedworld (NA),recoverable,46217,ESPN Speed World,https://www.igdb.com/games/espn-speed-world,discovery,46217: ESPN Speed World; 260818: Super Special World; 37772: Verne World
EarthBound (NA),recoverable,2899,EarthBound,https://www.igdb.com/games/earthbound,broad,2899: EarthBound; 305370: Mother 2: Perfect Edition
Edono Kiba (JP),recoverable,42389,Edo no Kiba,https://www.igdb.com/games/edo-no-kiba,discovery,42389: Edo no Kiba; 108919: Alnam no Kiba: Juuzoku Juuni Shinto Densetsu; 37822: Super Keiba
Emit Vol. 3 - Watashi ni Sayonara o (JP),No confident match from search responses,,,,discovery,60967: EMIT Vol. 3: Watashi ni Sayonara wo; 60972: EMIT Vol. 1: Toki no Maigo; 60966: EMIT Vol. 2: Inochigake no Tabi
F1-ROC II - Race of Champions (NA),recoverable,42572,F1 ROC II: Race of Champions,https://www.igdb.com/games/f1-roc-ii-race-of-champions,discovery,42572: F1 ROC II: Race of Champions
Fighter's History - Mizoguchi Kikiippatsu!! (JP),recoverable,58791,Fighter's History 2,https://www.igdb.com/games/fighters-history-2,discovery,58791: Fighter's History 2; 58791: Fighter's History 2; 58791: Fighter's History 2
"Final Fantasy II (NA, Rev 1)",recoverable,387,Final Fantasy II,https://www.igdb.com/games/final-fantasy-ii,broad,387: Final Fantasy II; 16587: Final Fantasy IV
Finalset (JP),recoverable,44430,Final Set,https://www.igdb.com/games/final-set,discovery,44430: Final Set; 42277: Final Stretch; 44430: Final Set
FrogNES (NA),No confident match from search responses,,,,discovery,218568: Frogger; 4474: Frog Feast; 213138: Super Metroid: Cryogenesis
"Front Mission Series - Gun Hazard (English Translated by Aeon Genesis, Rev 1.01)",recoverable,1499,Front Mission: Gun Hazard,https://www.igdb.com/games/front-mission-gun-hazard,discovery,1499: Front Mission: Gun Hazard
G.O.D. - Mezameyo to Yobu Koe ga Kikoe (English Translated by Dynamic Designs),recoverable,42433,G.O.D: Mezame yo to Yobu Koe ga Kikoe,https://www.igdb.com/games/g-dot-o-d-mezame-yo-to-yobu-koe-ga-kikoe,discovery,42433: G.O.D: Mezame yo to Yobu Koe ga Kikoe
"Ganbare Goemon - Boku ga Dancer ni Natta Riyuu - Kirakira Douchuu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",No confident match from search responses,,,,discovery,77854: Ganbare Goemon: Kira-kira Douchuu - Boku ga Dancer ni Natta Wake; 77854: Ganbare Goemon: Kira-kira Douchuu - Boku ga Dancer ni Natta Wake; 77854: Ganbare Goemon: Kira-kira Douchuu - Boku ga Dancer ni Natta Wake
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (English Translated by DDSTranslation, Rev 2 With SRAM Hack by FlashPV, Rev 1.02)",ambiguous or truncated,,,,discovery,28386: The Legend of the Mystical Ninja
"Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (English Translated by DDSTranslation, Rev 3 With Ganbare Title Screen Patch by Djungelurban)",No confident match from search responses,,,,discovery,42413: Ganbare Goemon 2: Kiteretsu Shogun McGuiness; 42413: Ganbare Goemon 2: Kiteretsu Shogun McGuiness; 28386: The Legend of the Mystical Ninja
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (English Translated by DDSTranslation, Rev 4 With Ganbare Title Screen Patch by Djungelurban)",recoverable,42412,Ganbare Goemon 3: Shishijuurokubee no Karakuri Manjigatame,https://www.igdb.com/games/ganbare-goemon-3-shishijuurokubee-no-karakuri-manjigatame,discovery,42412: Ganbare Goemon 3: Shishijuurokubee no Karakuri Manjigatame; 42413: Ganbare Goemon 2: Kiteretsu Shogun McGuiness
Ganbare! Daiku no Gen-san (JP),recoverable,42388,Ganbare! Daiku no Gensan,https://www.igdb.com/games/ganbare-daiku-no-gensan,discovery,42388: Ganbare! Daiku no Gensan; 77854: Ganbare Goemon: Kira-kira Douchuu - Boku ga Dancer ni Natta Wake; 42412: Ganbare Goemon 3: Shishijuurokubee no Karakuri Manjigatame
Gangan Gan-chan (JP),recoverable,38023,Gan-gan Gan-chan,https://www.igdb.com/games/gan-gan-gan-chan,discovery,38023: Gan-gan Gan-chan; 38023: Gan-gan Gan-chan; 1726: Mega Man & Bass
"Gokujou Parodius (English Translated and SRAM Patched by Blizzz, Rev 1.1a With FastROM Hack by Kandowontu)",No confident match from search responses,,,,discovery,174910: Parodius; 38390: Jikkyou Oshaberi Parodius; 174910: Parodius
Golf Daisuki! - O.B. Club (English Translated by Dynamic Designs),No confident match from search responses,,,,discovery,38382: Osu!! Karate Bu; 42313: Shin Shogi Club
